case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JA442674,2017-09-23T01:34:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,43477
JB456145,2018-09-30T00:00:00Z,720 ILCS 570.0/401-D,PCS - MFG/DEL - LESS THAN 10 GRMS - HEROIN,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,NA,NA,NA,NA,23967
JD158998,2020-02-20T23:37:00Z,720 ILCS 550.0/5-A,CANNABIS - MFG/DEL - LESS THAN 2.5 GRMS,M,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,60863
JF413758,2022-11-21T21:51:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHD CONTROL>$500<$10K,F,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,720 ILCS 5.0/16-2,THEFT LOST/MISLAID/PROP/<$500,M,22548
JB321396,2018-06-25T07:50:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,60448
JA260031,2017-05-12T01:40:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED FIREARM,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,37545
JF341684,2022-08-02T20:31:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/11-502.15-B,UNLWFL POSS CANNABIS/DRIVER,M,4902
JC538913,2019-12-08T08:57:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,9-76-160(B),DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR,NA,26184
JD255072,2020-06-06T01:25:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,29062
JA155519,2017-02-16T13:20:00Z,430 ILCS 66.0/65-A-19,CARRY CONCEALED FIR/AIRPORT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,50846
JD124110,2020-01-22T08:30:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,75846
JD424570,2020-11-08T05:10:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED/NO FCCA,F,625 ILCS 5.0/11-502.15-B,UNLWFL POSS CANNABIS/DRIVER,M,9-76-050(D),"LIGHT, LICENSE PLATE",NA,NA,NA,NA,8861
JF156264,2022-02-26T06:00:00Z,625 ILCS 5.0/4-104-A-5,POSS TITLE/REGISTRATION NOT ENTITLED TO USE,M,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,M,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,9-76-160(D),LIC PLATES NOT VISABLE/OR COVERED,NA,10279
JB539598,2018-12-04T16:49:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,62472
JE484809,2021-12-21T19:00:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,19079
JA439685,2017-09-20T23:05:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,44951
JD110055,2020-01-09T23:01:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,15360
JC349440,2019-07-15T15:17:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,6406
JD244740,2020-05-27T23:22:00Z,720 ILCS 5.0/12-3.2-A-1,DOM BTRY/HARM/1-2 PRI CONV,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,69373
JA429006,2017-09-13T02:55:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300/PRECONV,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,27319
JD364677,2020-09-12T14:12:00Z,720 ILCS 550.0/5-C,CANNABIS - MFG/DEL - 10-30 GRMS,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,82933
JA176150,2017-03-06T00:03:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,34481
JA540410,2017-12-07T21:40:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,76848
JE293624,2021-09-10T21:48:00Z,720 ILCS 5.0/21-2-A,CRIM TRES TO VEH/PHY CONTROL,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,28685
JB571918,2018-12-30T02:29:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17321
JA537567,2017-12-05T18:34:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,25938
JE487370,2021-12-24T05:39:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,38889
JF153142,2022-02-23T11:22:00Z,720 ILCS 5.0/24-1.2-A-1,AGGR DISCHARGE FIREARM - OCCUPIED BLDG,F,720 ILCS 5.0/21-1-A-1,CRIMINAL DAMAGE/$10K-100K,F,720 ILCS 5.0/12-2-C-2,AGG ASSAULT/DISCHARGE FIREARM,F,NA,NA,NA,36771
JD382127,2020-09-28T19:00:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,35106
JE396007,2021-10-03T04:33:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,99952
JF401536,2022-09-19T06:17:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY/BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,31936
JC234613,2019-04-23T03:16:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,9-60-080,WALKING ALONG ROADWAYS,NA,NA,NA,NA,61110
JE165786,2021-03-11T16:49:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,12346
JA411331,2017-08-30T01:10:00Z,8-8-060,PROSTITUTION - SOLICITING FOR PROSTITUTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99925
JA414083,2017-09-01T05:36:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,9720
JB542290,2018-12-06T17:06:00Z,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,9-76-160(B),DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR,NA,NA,NA,NA,NA,NA,NA,4902
JF245592,2022-05-17T17:35:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,10123
JE227169,2021-05-12T01:46:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,3949
JD336582,2020-08-18T15:56:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,NA,NA,NA,NA,NA,NA,NA,NA,NA,70288
JB551709,2018-12-13T20:20:00Z,720 ILCS 600.0/3.5-C,POSS DRUG PARAPHERNALIA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,78964
JD141915,2020-02-06T16:03:00Z,720 ILCS 5.0/12-2-B-4,AGG ASSAULT VOL/PRIV SEC OFF/UTIL,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,93327
JB376227,2018-08-02T21:56:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,81614
JD214152,2020-04-22T00:18:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,16786
JA151196,2017-02-12T23:00:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,44849
JF254280,2022-05-24T23:20:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY/BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,74997
JA190258,2017-03-17T18:15:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,96925
JC511609,2019-11-16T01:10:00Z,730 ILCS 150.0/3-A,VIOL SEX OFFENDER REGISTRATION,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,39355
JD126700,2020-05-30T00:20:00Z,625 ILCS 5.0/4-103-A-1,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,NA,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,NA,22342
JD285560,2020-07-04T17:20:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,74363
JB488403,2018-10-24T18:59:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,17482
JC242104,2019-04-29T02:00:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,9-20-010(C),USING ALLEY AS THRU STREET/VIOL SIGNS,NA,NA,NA,NA,37621
JC553193,2019-12-20T01:32:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,50636
JD105740,2020-01-06T19:01:00Z,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25585
JB263851,2018-05-15T03:43:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,3999
JB354858,2018-07-18T18:05:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,62836
JC554714,2019-12-21T07:36:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,87513
HZ513587,2017-04-08T21:11:00Z,720 ILCS 5.0/16-1-A-1-A,THEFT CON INTENT<$500 PRIOR,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,28395
JB288282,2018-06-01T17:40:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEH/PREV CONVICTION,F,625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,M,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/PASSENGER,NA,NA,NA,NA,10357
JC539703,2019-12-09T02:46:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,NA,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,NA,NA,NA,NA,90057
JB370947,2018-07-30T06:00:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,69072
JB375079,2018-08-02T01:26:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/28-1-A-1,GAMBLING - PLAY GAME OF CHANCE,M,NA,NA,NA,NA,NA,NA,68035
JB491093,2018-10-26T19:35:00Z,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/12-2-B-2,AGG ASSAULT TEACHER/SCHOOL EMP,M,NA,NA,NA,53929
JA323871,2017-06-27T00:50:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,91969
JF498561,2022-12-05T12:48:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,20560
JF458278,2022-11-01T21:58:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,625 ILCS 5.0/11-502.15-B,UNLWFL POSS CANNABIS/DRIVER,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",NA,45534
JE459266,2021-11-28T18:59:00Z,720 ILCS 5.0/24-1-A-10,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,M,9-76-220(A),OBSTRUCTION DRIVER'S VIEW/TINTED WINDOWS,NA,9-64-150(B),PARKING PROHIBITED-STANDING/PARKING POSTED,NA,9-16-050(B),NO TURN SIGNALS-VIOLATION,NA,75426
JE138954,2021-02-11T20:25:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,9-76-210(B),BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,NA,625 ILCS 5.0/12-208-A,IVC - NO STOP LIGHTS/ 1ST AND 2ND,NA,2129
JC415381,2019-09-01T04:10:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,625 ILCS 5.0/12-503-C,IVC - OBSTRUCT DRIVER'S VIEW/1ST&2ND,NA,NA,NA,NA,20206
JF135030,2022-02-06T01:11:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,90718
JD100623,2020-01-01T18:45:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,62556
JF463461,2022-11-21T16:09:00Z,720 ILCS 5.0/18-2-A-1,ROBBERY - ARMED - OTHER DANGEROUS WEAPON,F,720 ILCS 5.0/18-2-A-1,ROBBERY - ARMED - OTHER DANGEROUS WEAPON,F,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,13342
JC242658,2019-04-29T16:55:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,61971
JA415967,2017-09-02T17:14:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,28879
JA406869,2017-08-26T16:25:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,14314
JB497378,2018-10-31T13:48:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,54593
JD462985,2020-12-19T01:55:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,93141
JA403498,2017-08-23T23:36:00Z,720 ILCS 5.0/31-3,OBSTRUCT SERVICE OF PROCESS,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,11196
JF524763,2022-12-28T10:35:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY/BODILY HARM,M,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,NA,NA,NA,30089
JA323015,2017-06-26T16:15:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,76501
JA555627,2017-12-23T22:53:00Z,625 ILCS 5.0/4-103.2-A-3,"POSSESS STOLEN VEHICLE > $25,000",F,625 ILCS 5.0/11-204.1-A-4,IVC - AGG FLEEING/2+ CON DEVICES,F,625 ILCS 5.0/11-503-A-1,IVC - RECKLESS DRIVING,M,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,11250
JE244294,2021-05-27T08:09:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,84458
JD172634,2020-03-03T20:23:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,94628
JC507991,2019-11-12T22:20:00Z,720 ILCS 570.0/401-C-1,PCS - MFG/DEL 1<15 GR HEROIN/ANALOG,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,92897
JD110482,2020-01-10T09:29:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,46239
JA154894,2017-02-15T21:05:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4510
JC168222,2019-02-28T02:43:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4109
JA258247,2017-05-10T20:35:00Z,8-4-081,URINATE OR DEFICATE ON PUBLIC WAY,NA,8-8-080,INDECENT EXPOSURE URINATING IN PUBLIC,NA,8-4-010(A),DISORDERLY CONDUCT - BREACH OF PEACE,NA,NA,NA,NA,78802
JB408902,2018-08-26T05:28:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/UNLOADED/NO FCCA/FOID,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,82127
JE481404,2021-12-18T10:45:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,3537
JB317771,2018-06-22T17:45:00Z,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,M,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,M,NA,NA,NA,NA,NA,NA,14744
JB133407,2018-01-29T06:51:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,38592
JB417952,2018-09-01T18:44:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,24032
JF420856,2022-10-04T00:30:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,65004
JB177344,2018-03-07T22:42:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,36834
JF410711,2022-09-26T07:46:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,21864
JD415994,2021-05-11T18:40:00Z,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699
JC216290,2019-04-08T17:58:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,52099
JD398596,2020-10-14T00:56:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,625 ILCS 5.0/18B-103.1-A,DISOBEY POLICE OFFICER ORDER,M,9-40-200(C),OPERATOR SIGNAL CHANGE LANE,NA,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,NA,85992
JE442806,2021-11-12T20:05:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED/NO FCCA,F,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,725 ILCS 225.0/13,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,NA,8-20-060(A),"POSSESS OF A LASER SIGHT ACC,FIREARM SILENCER,MUFFLER",NA,15518
JD174503,2020-03-05T09:17:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,28515
JC499987,2019-11-06T00:36:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,32369
JF297064,2022-06-28T15:20:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,32178
JD162065,2020-02-23T18:56:00Z,720 ILCS 550.0/5-C,CANNABIS - MFG/DEL - 10-30 GRMS,F,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,9-40-200(C),OPERATOR SIGNAL CHANGE LANE,NA,NA,NA,NA,71771
JE449661,2021-11-19T00:10:00Z,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,F,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,F,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED/NO FCCA,F,3686
JC505861,2019-11-11T02:20:00Z,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,91603
JE371516,2021-09-13T13:06:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,26627
JA304708,2017-06-13T14:15:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,32404
JE161165,2021-03-06T23:20:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,3177
JD106363,2020-01-06T21:55:00Z,720 ILCS 550.0/5-C,CANNABIS - MFG/DEL - 10-30 GRMS,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,28780
JA461393,2017-10-07T00:59:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,625 ILCS 5.0/11-805,IMPROPER STOP OR TURN SIGNAL,NA,NA,NA,NA,NA,NA,NA,65819
JC311445,2019-09-23T13:52:00Z,720 ILCS 5.0/17-3-A-2,FORGERY - ISSUE/DELIVER DOCUMENT,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,66521
JA491265,2017-10-30T05:43:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,49256
JA312036,2017-06-18T13:55:00Z,720 ILCS 5.0/26-1-A-8,DISORDERLY CONDUCT - FALSE REPORT/PUBLIC HEALTH,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,5702
JA169400,2017-02-28T03:06:00Z,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,11785
JB387230,2018-08-10T13:02:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,45892
JE235645,2021-05-19T23:40:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395
