case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JB124615,2018-01-22T01:37:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,720 ILCS 550.0/4-D,POSS CAN/>100-500 GRAM/2+,F,9-24-040(A),YIELD TO VEHICLE ENTERING INTERSECTION,NA,NA,NA,NA,89804
JB395049,2018-08-16T00:10:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/>$300,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,4879
JA162800,2017-02-22T07:45:00Z,720 ILCS 5.0/12-3.05-A-3,AGG BTRY/GREAT BOD HARM/PC OFF,F,720 ILCS 5.0/24-1-A-10,UUW -  WEAPON - PUBLIC STREET/ALLEY/LANDS,M,720 ILCS 5.0/24-1-A-2,UUW -  WEAPON - CARRY W/ INTENT KNIFE,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,38524
JD279409,2020-06-29T00:36:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/NO FOID,F,9-24-010(B),STOP AT STOP SIGN,NA,NA,NA,NA,NA,NA,NA,55006
JD405364,2020-10-20T20:33:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,720 ILCS 5.0/24.8-2-B,CARRY/DISCH AIR RIFLE/STREET,NA,NA,NA,NA,NA,NA,NA,11749
JB465029,2018-10-06T19:30:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,86414
JD410042,2020-10-25T01:36:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 225.0/13,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,NA,NA,NA,NA,NA,NA,NA,10308
JB498031,2018-10-31T22:03:00Z,720 ILCS 570.0/401.5-A-5,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,48709
JB489103,2018-10-25T06:54:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,57349
JA407678,2017-08-27T04:15:00Z,720 ILCS 5.0/11-30-A-1,PUBLIC INDECENCY/SEX CONDUCT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,49759
JA523123,2017-11-24T05:48:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,27496
JA137725,2017-02-01T17:34:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,M,NA,NA,NA,NA,NA,NA,88374
JB263422,2018-05-14T21:34:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,20061
JC222375,2019-04-13T02:00:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,56246
JA460489,2017-10-06T14:25:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,36651
JC293552,2019-06-05T21:36:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,94950
JC549794,2019-12-17T13:51:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,24515
JC469145,2019-10-11T23:27:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,74309
JC380137,2019-08-05T23:30:00Z,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,725 ILCS 225.0/13,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,NA,NA,NA,NA,NA,NA,NA,31918
JF330876,2022-07-25T17:23:00Z,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERS/LOAD/NO FCCA/FOID,F,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,10264
JC428600,2019-09-11T14:55:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,9224
JA109139,2017-01-09T16:30:00Z,720 ILCS 550.0/5.2-C,CANNABIS - MFG/DEL - SCHOOL - 10-30 GRMS,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,36096
JA415609,2017-09-02T08:11:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/11-804-D,IVC - IMPROPER LANE CHANGE WITHOUT SIGNAL,NA,NA,NA,NA,16519
JC423653,2019-09-07T17:15:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,8-4-180,POSSESSING BURGLARY TOOLS,NA,4-144-190,REPLICA FIREARMS/PELLET GUNS,NA,NA,NA,NA,1391
JF115934,2022-01-22T02:38:00Z,720 ILCS 5.0/12-5-A-1,RECKLESS CONDUCT/BODILY HARM,M,720 ILCS 5.0/21-2-A,CRIM TRES TO VEH/PHY CONTROL,M,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,NA,NA,NA,89557
JC186631,2019-03-15T20:47:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,64060
JF290632,2022-06-23T11:00:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,53514
JA228669,2017-04-18T00:02:00Z,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,15720
JC129141,2019-01-25T16:55:00Z,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,NA,8-26-030-B,ANNUAL GUN OFFENDER REGISTRATION,NA,9-76-210(B),BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,NA,625 ILCS 5.0/6-101,UNLICENSED,NA,74405
JC401712,2019-08-21T21:10:00Z,430 ILCS 65.0/2-A-2,POSS AMMUNITION - W/O VALID FOID,M,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,NA,NA,NA,NA,NA,NA,NA,22518
JB116215,2018-01-15T02:45:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,NA,NA,NA,NA,NA,NA,40435
JA173568,2017-03-03T18:15:00Z,720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4691
JE135848,2021-02-08T17:15:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,3640
JC449919,2019-10-03T23:58:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,1205
JF401766,2022-09-19T13:56:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY/BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,45612
JB260704,2018-05-12T17:05:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,520
JD334311,2020-08-16T17:56:00Z,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,9-40-220,OPERATOR SIGNAL- MEANS,NA,NA,NA,NA,73101
